iteration_number,label,total,kept (qt),kept (%),removed (qt),removed (%),flagged (qt),flagged (%)
1,agr_perene,3739,3302,88.31,437,11.69,0,0.0
1,agr_semiperene,7767,7138,91.9,629,8.1,0,0.0
1,agr_temp_1,5352,4815,89.97,537,10.03,0,0.0
1,agr_temp_2mais,12104,11352,93.79,752,6.21,0,0.0
1,silvicultura,4582,4272,93.23,310,6.77,0,0.0
1,ALL,33544,30879,92.06,2665,7.94,0,0.0
2,agr_perene,3302,2971,89.98,331,10.02,0,0.0
2,agr_semiperene,7138,6774,94.9,364,5.1,0,0.0
2,agr_temp_1,4815,4522,93.91,293,6.09,0,0.0
2,agr_temp_2mais,11352,10845,95.53,507,4.47,0,0.0
2,silvicultura,4272,4050,94.8,222,5.2,0,0.0
2,ALL,30879,29162,94.44,1717,5.56,0,0.0
