iteration_number,label,total,kept (qt),kept (%),removed (qt),removed (%),flagged (qt),flagged (%)
1,Dense_Woodland,9966,9897,99.31,69,0.69,0,0.0
1,Dunes,550,550,100.0,0,0.0,0,0.0
1,Fallow_Cotton,630,586,93.02,44,6.98,0,0.0
1,Millet_Cotton,316,289,91.46,27,8.54,0,0.0
1,Pasture,7206,6983,96.91,223,3.09,0,0.0
1,Rocky_Savanna,8005,7869,98.3,136,1.7,0,0.0
1,Savanna,9172,9031,98.46,141,1.54,0,0.0
1,Savanna_Parkland,2699,2674,99.07,25,0.93,0,0.0
1,Silviculture,423,410,96.93,13,3.07,0,0.0
1,Soy_Corn,4971,4843,97.43,128,2.57,0,0.0
1,Soy_Cotton,4124,4058,98.4,66,1.6,0,0.0
1,Soy_Fallow,2098,2021,96.33,77,3.67,0,0.0
1,ALL,50160,49211,98.11,949,1.89,0,0.0
2,Dense_Woodland,9897,9829,99.31,68,0.69,0,0.0
2,Dunes,550,550,100.0,0,0.0,0,0.0
2,Fallow_Cotton,586,540,92.15,46,7.85,0,0.0
2,Millet_Cotton,289,271,93.77,18,6.23,0,0.0
2,Pasture,6983,6749,96.65,234,3.35,0,0.0
2,Rocky_Savanna,7869,7792,99.02,77,0.98,0,0.0
2,Savanna,9031,8934,98.93,97,1.07,0,0.0
2,Savanna_Parkland,2674,2652,99.18,22,0.82,0,0.0
2,Silviculture,410,396,96.59,14,3.41,0,0.0
2,Soy_Corn,4843,4774,98.58,69,1.42,0,0.0
2,Soy_Cotton,4058,4021,99.09,37,0.91,0,0.0
2,Soy_Fallow,2021,1963,97.13,58,2.87,0,0.0
2,ALL,49211,48471,98.5,740,1.5,0,0.0
3,Dense_Woodland,9829,9741,99.1,88,0.9,0,0.0
3,Dunes,550,550,100.0,0,0.0,0,0.0
3,Fallow_Cotton,540,530,98.15,10,1.85,0,0.0
3,Millet_Cotton,271,248,91.51,23,8.49,0,0.0
3,Pasture,6749,6640,98.38,109,1.62,0,0.0
3,Rocky_Savanna,7792,7663,98.34,129,1.66,0,0.0
3,Savanna,8934,8849,99.05,85,0.95,0,0.0
3,Savanna_Parkland,2652,2641,99.59,11,0.41,0,0.0
3,Silviculture,396,381,96.21,15,3.79,0,0.0
3,Soy_Corn,4774,4722,98.91,52,1.09,0,0.0
3,Soy_Cotton,4021,3944,98.09,77,1.91,0,0.0
3,Soy_Fallow,1963,1881,95.82,82,4.18,0,0.0
3,ALL,48471,47790,98.6,681,1.4,0,0.0
4,Dense_Woodland,9741,9642,98.98,99,1.02,0,0.0
4,Dunes,550,550,100.0,0,0.0,0,0.0
4,Fallow_Cotton,530,526,99.25,4,0.75,0,0.0
4,Millet_Cotton,248,226,91.13,22,8.87,0,0.0
4,Pasture,6640,6491,97.76,149,2.24,0,0.0
4,Rocky_Savanna,7663,7568,98.76,95,1.24,0,0.0
4,Savanna,8849,8776,99.18,73,0.82,0,0.0
4,Savanna_Parkland,2641,2599,98.41,42,1.59,0,0.0
4,Silviculture,381,370,97.11,11,2.89,0,0.0
4,Soy_Corn,4722,4657,98.62,65,1.38,0,0.0
4,Soy_Cotton,3944,3899,98.86,45,1.14,0,0.0
4,Soy_Fallow,1881,1859,98.83,22,1.17,0,0.0
4,ALL,47790,47163,98.69,627,1.31,0,0.0
5,Dense_Woodland,9642,9559,99.14,83,0.86,0,0.0
5,Dunes,550,531,96.55,19,3.45,0,0.0
5,Fallow_Cotton,526,502,95.44,24,4.56,0,0.0
5,Millet_Cotton,226,204,90.27,22,9.73,0,0.0
5,Pasture,6491,6378,98.26,113,1.74,0,0.0
5,Rocky_Savanna,7568,7482,98.86,86,1.14,0,0.0
5,Savanna,8776,8696,99.09,80,0.91,0,0.0
5,Savanna_Parkland,2599,2587,99.54,12,0.46,0,0.0
5,Silviculture,370,359,97.03,11,2.97,0,0.0
5,Soy_Corn,4657,4623,99.27,34,0.73,0,0.0
5,Soy_Cotton,3899,3857,98.92,42,1.08,0,0.0
5,Soy_Fallow,1859,1825,98.17,34,1.83,0,0.0
5,ALL,47163,46603,98.81,560,1.19,0,0.0
6,Dense_Woodland,9559,9494,99.32,65,0.68,0,0.0
6,Dunes,531,531,100.0,0,0.0,0,0.0
6,Fallow_Cotton,502,485,96.61,17,3.39,0,0.0
6,Millet_Cotton,204,200,98.04,4,1.96,0,0.0
6,Pasture,6378,6290,98.62,88,1.38,0,0.0
6,Rocky_Savanna,7482,7408,99.01,74,0.99,0,0.0
6,Savanna,8696,8634,99.29,62,0.71,0,0.0
6,Savanna_Parkland,2587,2586,99.96,1,0.04,0,0.0
6,Silviculture,359,336,93.59,23,6.41,0,0.0
6,Soy_Corn,4623,4589,99.26,34,0.74,0,0.0
6,Soy_Cotton,3857,3807,98.7,50,1.3,0,0.0
6,Soy_Fallow,1825,1781,97.59,44,2.41,0,0.0
6,ALL,46603,46141,99.01,462,0.99,0,0.0
7,Dense_Woodland,9494,9431,99.34,63,0.66,0,0.0
7,Dunes,531,531,100.0,0,0.0,0,0.0
7,Fallow_Cotton,485,480,98.97,5,1.03,0,0.0
7,Millet_Cotton,200,199,99.5,1,0.5,0,0.0
7,Pasture,6290,6207,98.68,83,1.32,0,0.0
7,Rocky_Savanna,7408,7330,98.95,78,1.05,0,0.0
7,Savanna,8634,8603,99.64,31,0.36,0,0.0
7,Savanna_Parkland,2586,2577,99.65,9,0.35,0,0.0
7,Silviculture,336,332,98.81,4,1.19,0,0.0
7,Soy_Corn,4589,4552,99.19,37,0.81,0,0.0
7,Soy_Cotton,3807,3725,97.85,82,2.15,0,0.0
7,Soy_Fallow,1781,1739,97.64,42,2.36,0,0.0
7,ALL,46141,45706,99.06,435,0.94,0,0.0
8,Dense_Woodland,9431,9304,98.65,127,1.35,0,0.0
8,Dunes,531,531,100.0,0,0.0,0,0.0
8,Fallow_Cotton,480,476,99.17,4,0.83,0,0.0
8,Millet_Cotton,199,198,99.5,1,0.5,0,0.0
8,Pasture,6207,6117,98.55,90,1.45,0,0.0
8,Rocky_Savanna,7330,7291,99.47,39,0.53,0,0.0
8,Savanna,8603,8510,98.92,93,1.08,0,0.0
8,Savanna_Parkland,2577,2550,98.95,27,1.05,0,0.0
8,Silviculture,332,329,99.1,3,0.9,0,0.0
8,Soy_Corn,4552,4525,99.41,27,0.59,0,0.0
8,Soy_Cotton,3725,3697,99.25,28,0.75,0,0.0
8,Soy_Fallow,1739,1708,98.22,31,1.78,0,0.0
8,ALL,45706,45236,98.97,470,1.03,0,0.0
9,Dense_Woodland,9304,9246,99.38,58,0.62,0,0.0
9,Dunes,531,531,100.0,0,0.0,0,0.0
9,Fallow_Cotton,476,445,93.49,31,6.51,0,0.0
9,Millet_Cotton,198,190,95.96,8,4.04,0,0.0
9,Pasture,6117,6054,98.97,63,1.03,0,0.0
9,Rocky_Savanna,7291,7274,99.77,17,0.23,0,0.0
9,Savanna,8510,8464,99.46,46,0.54,0,0.0
9,Savanna_Parkland,2550,2537,99.49,13,0.51,0,0.0
9,Silviculture,329,321,97.57,8,2.43,0,0.0
9,Soy_Corn,4525,4495,99.34,30,0.66,0,0.0
9,Soy_Cotton,3697,3668,99.22,29,0.78,0,0.0
9,Soy_Fallow,1708,1653,96.78,55,3.22,0,0.0
9,ALL,45236,44878,99.21,358,0.79,0,0.0
10,Dense_Woodland,9246,9178,99.26,68,0.74,0,0.0
10,Dunes,531,531,100.0,0,0.0,0,0.0
10,Fallow_Cotton,445,442,99.33,3,0.67,0,0.0
10,Millet_Cotton,190,175,92.11,15,7.89,0,0.0
10,Pasture,6054,5963,98.5,91,1.5,0,0.0
10,Rocky_Savanna,7274,7253,99.71,21,0.29,0,0.0
10,Savanna,8464,8359,98.76,105,1.24,0,0.0
10,Savanna_Parkland,2537,2534,99.88,3,0.12,0,0.0
10,Silviculture,321,311,96.88,10,3.12,0,0.0
10,Soy_Corn,4495,4488,99.84,7,0.16,0,0.0
10,Soy_Cotton,3668,3651,99.54,17,0.46,0,0.0
10,Soy_Fallow,1653,1631,98.67,22,1.33,0,0.0
10,ALL,44878,44516,99.19,362,0.81,0,0.0
11,Dense_Woodland,9178,9121,99.38,57,0.62,0,0.0
11,Dunes,531,531,100.0,0,0.0,0,0.0
11,Fallow_Cotton,442,441,99.77,1,0.23,0,0.0
11,Millet_Cotton,175,166,94.86,9,5.14,0,0.0
11,Pasture,5963,5907,99.06,56,0.94,0,0.0
11,Rocky_Savanna,7253,7208,99.38,45,0.62,0,0.0
11,Savanna,8359,8298,99.27,61,0.73,0,0.0
11,Savanna_Parkland,2534,2528,99.76,6,0.24,0,0.0
11,Silviculture,311,311,100.0,0,0.0,0,0.0
11,Soy_Corn,4488,4459,99.35,29,0.65,0,0.0
11,Soy_Cotton,3651,3618,99.1,33,0.9,0,0.0
11,Soy_Fallow,1631,1622,99.45,9,0.55,0,0.0
11,ALL,44516,44210,99.31,306,0.69,0,0.0
12,Dense_Woodland,9121,9068,99.42,53,0.58,0,0.0
12,Dunes,531,531,100.0,0,0.0,0,0.0
12,Fallow_Cotton,441,439,99.55,2,0.45,0,0.0
12,Millet_Cotton,166,163,98.19,3,1.81,0,0.0
12,Pasture,5907,5823,98.58,84,1.42,0,0.0
12,Rocky_Savanna,7208,7170,99.47,38,0.53,0,0.0
12,Savanna,8298,8278,99.76,20,0.24,0,0.0
12,Savanna_Parkland,2528,2515,99.49,13,0.51,0,0.0
12,Silviculture,311,310,99.68,1,0.32,0,0.0
12,Soy_Corn,4459,4443,99.64,16,0.36,0,0.0
12,Soy_Cotton,3618,3589,99.2,29,0.8,0,0.0
12,Soy_Fallow,1622,1581,97.47,41,2.53,0,0.0
12,ALL,44210,43910,99.32,300,0.68,0,0.0
