iteration_number,total,kept (qt),kept (%),removed (qt),removed (%),flagged (qt),flagged (%)
1,50160,49211,98.11,949,1.89,0,0.0
2,49211,48471,98.5,740,1.5,0,0.0
3,48471,47790,98.6,681,1.4,0,0.0
4,47790,47163,98.69,627,1.31,0,0.0
5,47163,46603,98.81,560,1.19,0,0.0
6,46603,46141,99.01,462,0.99,0,0.0
7,46141,45706,99.06,435,0.94,0,0.0
8,45706,45236,98.97,470,1.03,0,0.0
9,45236,44878,99.21,358,0.79,0,0.0
10,44878,44516,99.19,362,0.81,0,0.0
11,44516,44210,99.31,306,0.69,0,0.0
12,44210,43910,99.32,300,0.68,0,0.0
