iteration_number,label,total,kept (qt),kept (%),removed (qt),removed (%),flagged (qt),flagged (%)
1,Afloramento,103,91,88.35,12,11.65,0,0.0
1,Agricultura,1624,1478,91.01,146,8.99,0,0.0
1,Campo,3013,2966,98.44,47,1.56,0,0.0
1,Corpos-hídricos,234,223,95.3,11,4.7,0,0.0
1,Reservatório,517,495,95.74,22,4.26,0,0.0
1,Silvicultura,186,154,82.8,32,17.2,0,0.0
1,Urbano,90,59,65.56,31,34.44,0,0.0
1,Vegetação-arbórea,884,882,99.77,2,0.23,0,0.0
1,Áreas-arenosas,95,83,87.37,12,12.63,0,0.0
1,ALL,6746,6431,95.33,315,4.67,0,0.0
2,Afloramento,91,89,97.8,2,2.2,0,0.0
2,Agricultura,1478,1346,91.07,132,8.93,0,0.0
2,Campo,2966,2929,98.75,37,1.25,0,0.0
2,Corpos-hídricos,223,217,97.31,6,2.69,0,0.0
2,Reservatório,495,484,97.78,11,2.22,0,0.0
2,Silvicultura,154,138,89.61,16,10.39,0,0.0
2,Urbano,59,43,72.88,16,27.12,0,0.0
2,Vegetação-arbórea,882,874,99.09,8,0.91,0,0.0
2,Áreas-arenosas,83,77,92.77,6,7.23,0,0.0
2,ALL,6431,6197,96.36,234,3.64,0,0.0
3,Afloramento,89,89,100.0,0,0.0,0,0.0
3,Agricultura,1346,1257,93.39,89,6.61,0,0.0
3,Campo,2929,2891,98.7,38,1.3,0,0.0
3,Corpos-hídricos,217,210,96.77,7,3.23,0,0.0
3,Reservatório,484,474,97.93,10,2.07,0,0.0
3,Silvicultura,138,122,88.41,16,11.59,0,0.0
3,Urbano,43,36,83.72,7,16.28,0,0.0
3,Vegetação-arbórea,874,874,100.0,0,0.0,0,0.0
3,Áreas-arenosas,77,73,94.81,4,5.19,0,0.0
3,ALL,6197,6026,97.24,171,2.76,0,0.0
4,Afloramento,89,89,100.0,0,0.0,0,0.0
4,Agricultura,1257,1186,94.35,71,5.65,0,0.0
4,Campo,2891,2849,98.55,42,1.45,0,0.0
4,Corpos-hídricos,210,207,98.57,3,1.43,0,0.0
4,Reservatório,474,457,96.41,17,3.59,0,0.0
4,Silvicultura,122,121,99.18,1,0.82,0,0.0
4,Urbano,36,31,86.11,5,13.89,0,0.0
4,Vegetação-arbórea,874,873,99.89,1,0.11,0,0.0
4,Áreas-arenosas,73,73,100.0,0,0.0,0,0.0
4,ALL,6026,5886,97.68,140,2.32,0,0.0
