iteration_number,Cultura,total,kept (qt),kept (%),removed (qt),removed (%),flagged (qt),flagged (%)
1,Banana,639,575,89.98,64,10.02,0,0.0
1,Cana,4406,4247,96.39,159,3.61,0,0.0
1,Coco,3271,3108,95.02,163,4.98,0,0.0
1,Eucalipto,91,35,38.46,56,61.54,0,0.0
1,Grama,192,162,84.38,30,15.62,0,0.0
1,Laranja,380,340,89.47,40,10.53,0,0.0
1,Mamão,50,50,100.0,0,0.0,0,0.0
1,Manga,971,853,87.85,118,12.15,0,0.0
1,ALL,10000,9370,93.7,630,6.3,0,0.0
2,Banana,575,553,96.17,22,3.83,0,0.0
2,Cana,4247,4170,98.19,77,1.81,0,0.0
2,Coco,3108,2950,94.92,158,5.08,0,0.0
2,Eucalipto,35,26,74.29,9,25.71,0,0.0
2,Grama,162,137,84.57,25,15.43,0,0.0
2,Laranja,340,316,92.94,24,7.06,0,0.0
2,Mamão,50,50,100.0,0,0.0,0,0.0
2,Manga,853,777,91.09,76,8.91,0,0.0
2,ALL,9370,8979,95.83,391,4.17,0,0.0
3,Banana,553,549,99.28,4,0.72,0,0.0
3,Cana,4170,4144,99.38,26,0.62,0,0.0
3,Coco,2950,2833,96.03,117,3.97,0,0.0
3,Eucalipto,26,23,88.46,3,11.54,0,0.0
3,Grama,137,137,100.0,0,0.0,0,0.0
3,Laranja,316,313,99.05,3,0.95,0,0.0
3,Mamão,50,50,100.0,0,0.0,0,0.0
3,Manga,777,714,91.89,63,8.11,0,0.0
3,ALL,8979,8763,97.59,216,2.41,0,0.0
